metric,count,mean,median,std,min,p10,p25,p75,p90,max,win_rate,tie_rate,loss_rate,mean_ci_low,mean_ci_high,slice_name,slice_value,num_scenes
delta_selected_comfort,1318,-0.0007587253414264037,0.0,0.02754496943956198,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992412746585736,0.0007587253414264037,-0.002276176024279211,0.0,maneuver,right,1318
delta_selected_driving_direction_compliance,1318,0.005690440060698027,0.0,0.15018925469023264,-1.0,0.0,0.0,0.0,0.0,1.0,0.0417298937784522,0.9279210925644916,0.030349013657056147,-0.002655538694992413,0.013657056145675266,maneuver,right,1318
delta_score,407,0.007371007371007371,0.0,0.09049819964065582,-0.41666666666666663,0.0,0.0,0.0,0.0,1.0,0.009828009828009828,0.9877149877149877,0.002457002457002457,0.0,0.0171990171990172,maneuver,stationary,407
delta_oracle_score,407,0.002457002457002457,0.0,0.04956815970966096,0.0,0.0,0.0,0.0,0.0,1.0,0.002457002457002457,0.9975429975429976,0.0,0.0,0.007371007371007371,maneuver,stationary,407
delta_ranking_ability,407,0.004914004914004914,0.0,0.07587574449029275,-0.4166666666666666,-0.0,-0.0,-0.0,0.0,1.0,0.007371007371007371,0.9901719901719902,0.002457002457002457,-0.0010237510237510235,0.013308763308763308,maneuver,stationary,407
delta_selected_no_at_fault_collisions,407,0.004914004914004914,0.0,0.0700135804942555,0.0,0.0,0.0,0.0,0.0,1.0,0.004914004914004914,0.995085995085995,0.0,0.0,0.012285012285012284,maneuver,stationary,407
delta_selected_drivable_area_compliance,407,0.002457002457002457,0.0,0.04956815970966096,0.0,0.0,0.0,0.0,0.0,1.0,0.002457002457002457,0.9975429975429976,0.0,0.0,0.007371007371007371,maneuver,stationary,407
delta_selected_ego_progress,407,0.007371007371007371,0.0,0.08564284552646183,0.0,0.0,0.0,0.0,0.0,1.0,0.007371007371007371,0.9926289926289926,0.0,0.0,0.0171990171990172,maneuver,stationary,407
delta_selected_time_to_collision_within_bound,407,0.004914004914004914,0.0,0.09913631941932194,-1.0,0.0,0.0,0.0,0.0,1.0,0.007371007371007371,0.9901719901719902,0.002457002457002457,-0.004914004914004914,0.014742014742014743,maneuver,stationary,407
delta_selected_comfort,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,maneuver,stationary,407
delta_selected_driving_direction_compliance,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,maneuver,stationary,407
